Type	EET-gene	Phylum	Normalised relative abundance (%)
Bulk	Both	Desulfobacterota	0.226901242
Bulk	Both	Desulfobacterota	0.099000588
Bulk	Both	Desulfobacterota	0.119775826
Bulk	non	Desulfobacterota	0.092114339
GAC	epili	Desulfobacterota	0.422000328
GAC	non	Desulfobacterota	0.38054038
GAC	epili	Desulfobacterota	0.436787231
GAC	MHC	Desulfobacterota	0.454461301
GAC	MHC	Desulfobacterota	0.130240742
GAC	epili	Desulfobacterota	0.39320722
GAC	non	Desulfobacterota	0.203670479
GAC	Both	Desulfobacterota	0.669924269
GAC	epili	Desulfobacterota	0.164129266
GAC	non	Desulfobacterota	0.318366337
Bulk	epili	Desulfobacterota	0.410424663
Bulk	non	Desulfobacterota	0.159706249
Bulk	non	Desulfobacterota	0.87159991
GAC	MHC	Desulfobacterota	0.601471422
GAC	non	Desulfobacterota	4.555506823
GAC	non	Desulfobacterota	4.48236753
GAC	non	Desulfobacterota	1.252019528
GAC	non	Desulfobacterota	1.033102953
GAC	non	Desulfobacterota	2.498642542
GAC	non	Desulfobacterota	0.106884014
GAC	non	Desulfobacterota	0.127277077
GAC	non	Desulfobacterota	0.07094998
GAC	non	Desulfobacterota	0.083986952
GAC	non	Desulfobacterota	1.270738418
GAC	non	Desulfobacterota	0.21106837
GAC	MHC	Desulfobacterota	0.214203598
GAC	non	Desulfobacterota	0.406577624
GAC	non	Other	0.088414019
GAC	MHC	Other	0.122429994
Bulk	epili	Other	0.085685711
GAC	epili	Other	0.062737212
Bulk	epili	Other	0.218998821
Bulk	non	Other	0.149542332
GAC	epili	Other	0.552734841
GAC	non	Other	0.08820764
GAC	epili	Other	0.05941753
Bulk	non	Fermentibacterota	0.449150457
GAC	epili	Fermentibacterota	1.745736342
GAC	epili	Fermentibacterota	2.588113037
GAC	epili	Fermentibacterota	3.02903924
GAC	epili	Fermentibacterota	2.71392457
GAC	epili	Fermentibacterota	0.111796225
Bulk	non	Firmicutes	0.515046387
Bulk	non	Firmicutes	0.448366002
Bulk	epili	Firmicutes	0.534233963
Bulk	MHC	Firmicutes	1.145806903
Bulk	non	Firmicutes	17.05714938
Bulk	non	Firmicutes	1.019813511
Bulk	non	Firmicutes	0.651181192
Bulk	non	Firmicutes	12.63620663
Bulk	non	Firmicutes	0.552130186
Bulk	non	Firmicutes	0.727486943
Bulk	epili	Firmicutes	0.476749314
Bulk	non	Firmicutes	0.310595652
Bulk	non	Firmicutes	0.147418625
Bulk	non	Firmicutes	0.196488619
Bulk	non	Firmicutes	18.91582106
Bulk	non	Firmicutes	0.676256245
Bulk	non	Firmicutes	0.662847056
GAC	non	Firmicutes	0.413394474
GAC	non	Firmicutes	0.662608612
GAC	non	Firmicutes	0.454864278
GAC	non	Firmicutes	0.716004119
Bulk	epili	Firmicutes	0.525997396
Bulk	non	Firmicutes	0.45269011
Bulk	non	Firmicutes	0.441488014
Bulk	epili	Firmicutes	0.517153222
